,0,1,2
0,"Imprimis Pharmaceuticals, Inc.",IMMY,http://investsnips.com/imprimis-pharmaceuticals-immy/
1,Incyte Corporation,INCY,http://investsnips.com/incyte-corporation-incy/
2,"Infinity Pharmaceuticals, Inc.",INFI,http://investsnips.com/infinity-pharmaceuticals-infi/
3,InflaRx N.V.,IFRX,http://investsnips.com/inflarx-n-v-ifrx/
4,"Innoviva, Inc.",INVA,http://investsnips.com/theravance-inc-thrx/
5,"Inovio Pharmaceuticals, Inc.",INO,http://investsnips.com/inovio-pharmaceuticals-ino/
6,"Insmed, Inc.",INSM,http://investsnips.com/insmed-inc-insm/
7,Intec Pharma Ltd.,NTEC,http://investsnips.com/intec-pharma-ltd-ntec/
8,"Intellia Therapeutics, Inc.",NTLA,http://investsnips.com/intellia-therapeutics-inc/
9,"Intercept Pharmaceuticals, Inc.",ICPT,http://investsnips.com/intercept-pharmaceuticals-icpt/
10,Intra-Cellular Therapies Inc.,ITCI,http://investsnips.com/intra-cellular-therapies-itci/
11,Intrexon Corporation,XON,http://investsnips.com/intrexon-corporation-xon/
12,"Ionis Pharmaceuticals, Inc.",IONS,http://investsnips.com/isis-pharmaceuticals-isis/
13,"Iovance Biotherapeutics, Inc.",IOVA,http://investsnips.com/lion-biotechnologies-inc-lbio/
14,Jaguar Animal Health (JAGX,http://investsnips.com/jaguar-animal-health-jagx/,
15,Jazz Pharmaceuticals Plc.,JAZZ,http://investsnips.com/jazz-pharmaceuticals-jazz/
16,"Jounce Therapeutics, Inc.",JNCE,http://investsnips.com/jounce-therapeutics-inc/
17,"Kadmon Holdings, Inc.",KDMN,http://investsnips.com/kadmon-holdings-inc/
18,"Kala Pharmaceuticals, Inc.",KALA,http://investsnips.com/kala-pharmaceuticals-inc-kala/
19,Kamada Ltd.,KMDA,http://investsnips.com/kamada-ltd-kmda/
20,Kazia Therapeutics ,KZIA,http://investsnips.com/novogen-limited-nvgn/
21,"Keryx Biopharmaceuticals, Inc.",KERX,http://investsnips.com/keryx-biopharmaceuticals-kerx/
22,"Kindred Biosciences, Inc.",KIN,http://investsnips.com/kindred-biosciences-kin/
23,Kitov Pharamceuticals Holdings Ltd.,KTOV,http://investsnips.com/kitov-pharamceuticals-holdings-ltd/
24,"Krystal Biotech, Inc.",KRYS,http://investsnips.com/krystal-biotech-inc-krys/
25,"Kura Oncology, Inc.",KURA,http://investsnips.com/kura-oncology-inc-kura/
26,La Jolla Pharmaceutical Company,LJPC,http://investsnips.com/la-jolla-pharmaceutical-company-ljpc/
27,"Leap Therapeutics, Inc.",LPTX,http://investsnips.com/macrocure-ltd-mcur/
28,"Lexicon Pharmaceuticals, Inc.",LXRX,http://investsnips.com/lexicon-pharmaceuticals-lxrx/
29,Ligand Pharmaceuticals Incorporated,LGND,http://investsnips.com/ligand-pharmaceuticals-incorporated-lgnd/
30,"Loxo Oncology, Inc.",LOXO,http://investsnips.com/loxo-oncology-inc-loxo/
31,"Lpath, Inc.",LPTN,http://investsnips.com/lpath-inc-lptn/
32,"MabVax Therapeutics Holdings, Inc.",MBVX,http://investsnips.com/mabvax-therapeutics-holdings-inc/
33,"MacroGenics, Inc.",MGNX,http://investsnips.com/macrogenics-mgnx/
34,Mallinckrodt Plc.,MNK,http://investsnips.com/mallinckrodt-mnk/
35,MannKind Corporation,MNKD,http://investsnips.com/mannkind-corporation-mnkd/
36,"Marinus Pharmaceuticals, Inc.",MRNS,http://investsnips.com/marinus-pharmaceuticals-mrns/
37,"Mateon Therapeutics, Inc.",MATN,http://investsnips.com/oxigene-inc-oxgn/
38,"Matinas Biopharma Holdings, Inc.",MTNB,http://investsnips.com/matinas-biopharma-holdings-inc-mtnb/
39,"MediciNova, Inc.",MNOV,http://investsnips.com/medicinova-inc-mnov/
40,MediWound Ltd.,MDWD,http://investsnips.com/mediwound-mdwd/
41,"MEI Pharma, Inc.",MEIP,http://investsnips.com/mei-pharma-inc-meip/
42,Menlo Therapeutics Inc.,MNLO,http://investsnips.com/menlo-therapeutics-inc-mnlo/
43,"Merrimack Pharmaceuticals, Inc.",MACK,http://investsnips.com/merrimack-pharmaceuticals-mack/
44,"Mersana Therapeutics, Inc.",MRSN,http://investsnips.com/mersana-therapeutics-inc-mrsn/
45,Merus N.V.,MRUS,http://investsnips.com/merus-n-v/
46,Mesoblast Ltd.,MESO,http://investsnips.com/mesoblast-ltd-meso/
47,"Minerva Neurosciences, Inc.",NERV,http://investsnips.com/minerva-neurosciences-nerv/
48,"Miragen Therapeutics, Inc.",MGEN,http://investsnips.com/82874-2/
49,"Mirati Therapeutics, Inc.",MRTX,http://investsnips.com/mirati-therapeutics-mrtx/
50,"Momenta Pharmaceuticals, Inc.",MNTA,http://investsnips.com/momenta-pharmaceuticals-inc-mnta/
51,MyoKardia Inc.,MYOK,http://investsnips.com/myokardia-inc-myok/
52,MYOS Corporation,MYOS,http://investsnips.com/myos-corporation-myos/
53,Myovant Sciences Ltd.,MYOV,http://investsnips.com/myovant-sciences-ltd/
54,Nabriva Therapeutics AG,NBRV,http://investsnips.com/nabriva-therapeutics-ag-nbrv/
55,"NanoViricides, Inc.",NNVC,http://investsnips.com/nanoviricides-inc-nnvc/
56,Nantkwest Inc.,NK,http://investsnips.com/nantkwest-inc-nk/
57,Nektar Therapeutics,NKTR,http://investsnips.com/nektar-therapeutics-nktr/
58,Neptune Technologies & Bioresources Inc.,NEPT,http://investsnips.com/neptune-technologies-bioresources-inc-nept/
59,"Neuralstem, Inc.",CUR,http://investsnips.com/neuralstem-inc-cur-3/
60,"Neurocrine Biosciences, Inc.",NBIX,http://investsnips.com/neurocrine-biosciences-inc-nbix/
61,NewLink Genetics Corporation,NLNK,http://investsnips.com/newlink-genetics-corporation-nlnk/
62,Nightstar Therapeutics plc,NITE,http://investsnips.com/nightstar-therapeutics-plc-nite/
63,"Northwest Biotherapeutics, Inc.",NWBO,http://investsnips.com/northwest-biotherapeutics-nwbo/
64,"NovaBay Pharmaceuticals, Inc.",http://investsnips.com/novabay-pharmaceuticals-inc-nby/,
65,"Novavax, Inc.",NVAX,http://investsnips.com/novavax-inc-nvax/
66,NovoCure Ltd.,NVCR,http://investsnips.com/novocure-ltd-nvcr/
67,NuCana plc,NCNA,http://investsnips.com/nucana-plc-ncna/
68,Nymox Pharmaceutical Corporation,NYMX,http://investsnips.com/nymox-pharmaceutical-corporation-nymx/
69,ObsEva SA,OBSV,http://investsnips.com/obseva-sa/
70,"Ocular Therapeutix, Inc.",OCUL,http://investsnips.com/ocular-therapeutix-ocul/
71,"Ohr Pharmaceuticals, Inc.",OHRP,http://investsnips.com/ohr-pharmaceuticals-inc-ohrp/
72,Omeros Corporation,OMER,http://investsnips.com/omeros-corporation-omer/
73,"Oncobiologics, Inc.",ONS,http://investsnips.com/oncobiologics-inc/
74,"OncoMed Pharmaceuticals, Inc.",OMED,http://investsnips.com/oncomed-pharmaceuticals-omed/
75,"Onconova Therapeutics, Inc.",ONTX,http://investsnips.com/onconova-therapeutics-inc-ontx/
76,OncoSec Medical Inc.,ONCS,http://investsnips.com/oncosec-medical-inc-oncs/
