,0,1,2
0,AbbVie Inc.,ABBV,http://investsnips.com/abbvie-abbv/
1,Abeona Therapeutics,ABEO,http://investsnips.com/abeona-therapeutics-abeo/
2,AC Immune SA,ACIU,http://investsnips.com/ac-immune-sa/
3,ACADIA Pharmaceuticals Inc.,ACAD,http://investsnips.com/acadia-pharmaceuticals-acad/
4,"Acasti Pharma, Inc.",ACST,http://investsnips.com/acasti-pharma-acst/
5,Acceleron Pharma Inc.,XLRN,http://investsnips.com/acceleron-pharma-inc-xlrn/
6,"Achaogen, Inc.",AKAO,http://investsnips.com/achaogen-inc-akao/
7,"Achillion Pharmaceuticals, Inc.",ACHN,http://investsnips.com/achillion-pharmaceuticals-achn/
8,"Acorda Therapeutics, Inc.",ACOR,http://investsnips.com/acorda-therapeutics-inc-acor/
9,"Actinium Pharmaceuticals, Inc.",ATNM,http://investsnips.com/actinium-pharmaceuticals-inc-atnm/
10,Adaptimmune Therapeutics plc,ADAP,http://investsnips.com/adaptimmune-theapeutics-plc-adap/
11,ADMA Biologics Inc.,ADMA,http://investsnips.com/adma-biologics-inc-adma/
12,"Aduro BioTech, Inc.",ADRO,http://investsnips.com/aduro-biotech-inc-adro/
13,"Advaxis, Inc.",ADXS,http://investsnips.com/advaxis-inc-adxs/
14,"Adverum Biotechnologies, Inc.",ADVM,http://investsnips.com/avalanche-biotechnologies-inc-aavl/
15,"Aeglea BioTherapeutics, Inc.",AGLE,http://investsnips.com/aeglea-biotherapeutics/
16,AEterna Zentaris Inc.,AEZS,http://investsnips.com/aeterna-zentaris-inc-aezs/
17,Affimed N.V.,AFMD,http://investsnips.com/affimed-n-v-afmd/
18,Agenus Inc.,AGEN,http://investsnips.com/agenus-inc-agen/
19,"Agios Pharmaceuticals, Inc.",AGIO,http://investsnips.com/agios-pharmaceuticals-agio/
20,"Aileron Therapeutics, Inc.",ALRN,http://investsnips.com/aileron-therapeutics-inc-alrn/
21,"Aimmune Therapeutics, Inc.",AIMT,http://investsnips.com/aimmune-therapeutics-inc-aimt/
22,"Akari Therapeutics, Plc",AKTX,http://investsnips.com/akari-therapeutics-plc-aktx/
23,"Akcea Therapeutics, Inc.",AKCA,http://investsnips.com/akcea-therapeutics-inc-akca/
24,"Akebia Therapeutics, Inc.",AKBA,http://investsnips.com/akebia-therapeutics-akba/
25,"Alder BioPharmaceuticals, Inc.",ALDR,http://investsnips.com/alder-biopharmaceuticals-inc-aldr/
26,"Aldeyra Therapeutics, Inc.",ALDX,http://investsnips.com/aldeyra-therapeutics-aldx/
27,"Alexion Pharmaceuticals, Inc.",ALXN,http://investsnips.com/alexion-pharmaceuticals-alxn/
28,Alkermes Plc.,ALKS,http://investsnips.com/alkermes-alks/
29,"Allena Pharmaceuticals, Inc.",ALNA,http://investsnips.com/allena-pharmaceuticals-inc-alna/
30,"Alnylam Pharmaceuticals, Inc.",ALNY,http://investsnips.com/alnylam-pharmaceuticals-alny/
31,"Altimmune, Inc.",ALT,http://investsnips.com/pharmathene-inc-pip/
32,Amarin Corporation Plc.,AMRN,http://investsnips.com/amarin-corporation-amrn/
33,Amgen Inc.,AMGN,http://investsnips.com/amgen-inc-amgn/
34,"Amicus Therapeutics, Inc.",FOLD,http://investsnips.com/amicus-therapeutics-fold/
35,"Ampio Pharmaceuticals, Inc.",AMPE,http://investsnips.com/ampio-pharmaceuticals-ampe/
36,AmpliPhi Biosciences Corporation,APHB,http://investsnips.com/ampliphi-biosciences-corporation-aphb/
37,"AnaptysBio, Inc.",ANAB,http://investsnips.com/anaptysbio-inc/
38,Anavex Life Sciences Corp.,AVXL,http://investsnips.com/anavex-life-sciences-corp-avxl/
39,"ANI Pharmaceuticals, Inc.",ANIP,http://investsnips.com/ani-pharmaceuticals-inc-anip/
40,Anika Therapeutics Inc.,ANIK,http://investsnips.com/anika-therapeutics-inc-anik/
41,"Apellis Pharmaceuticals, Inc.",APLS,http://investsnips.com/apellis-pharmaceuticals-inc-apls/
