,0,1,2
0,Abbott Laboratories,ABT,http://investsnips.com/abbott-laboratories-abt/
1,"AcelRx Pharmaceuticals, Inc.",ACRX,http://investsnips.com/acelrx-pharmaceuticals-acrx/
2,"Aclaris Therapeutics, Inc.",ACRS,http://investsnips.com/aclaris-therapeutics-acrs/
3,"Adamas Pharmaceuticals, Inc.",ADMS,http://investsnips.com/adamas-pharmaceuticals-adms/
4,Adamis Pharmaceuticals Corporation,ADMP,http://investsnips.com/adamis-pharmaceuticals-corporation-admp/
5,"Aerie Pharmaceuticals, Inc.",AERI,http://investsnips.com/aerie-pharmaceuticals-inc-aeri/
6,"Agile Therapeutics, Inc.",AGRX,http://investsnips.com/agile-therapeutics-agrx/
7,"Akorn, Inc.",AKRX,http://investsnips.com/akorn-akrx/
8,"Alimera Sciences, Inc.",ALIM,http://investsnips.com/alimera-sciences-alim/
9,Allergan plc,AGN,http://investsnips.com/allergan-inc-agn/
10,"AMAG Pharmaceuticals, Inc.",AMAG,http://investsnips.com/amag-pharmaceuticals-amag/
11,AmerisourceBergen Corporation,ABC,http://investsnips.com/amerisourcebergen-corporation-holding-co-abc/
12,"Amphastar Pharmaceuticals, Inc.",AMPH,http://investsnips.com/amphastar-pharmaceuticals-amph/
13,"Antares Pharma, Inc.",ATRS,http://investsnips.com/antares-pharma-atrs/
14,"Aquinox Pharmaceuticals, Inc.",AQXP,http://investsnips.com/aquinox-pharmaceuticals-aqxp/
15,Aradigm Corporation,ARDM,http://investsnips.com/aradigm-corporation-ardm/
16,Aralez Pharmaceuticals Inc.,ARLZ,http://investsnips.com/aralez-pharmaceuticals-inc/
17,"Aratana Therapeutics, Inc.",PETX,http://investsnips.com/aratana-therapeutics-petx/
18,Avadel Pharmaceuticals plc,AVDL,http://investsnips.com/flamel-technologies-s-a-flml/
19,"Avenue Therapeutics, Inc.",ATXI,http://investsnips.com/avenue-therapeutics-inc-atxi/
20,"BioDelivery Sciences International, Inc.",BDSI,http://investsnips.com/biodelivery-sciences-international-bdsi/
21,BioPharmX Corporation,BPMX,http://investsnips.com/biopharmx-corp-bpmx/
22,"Biostar Pharmaceuticals, Inc.",BSPM,http://investsnips.com/biostar-pharmaceuticals-inc-bspm/
23,Cambrex Corporation,CBM,http://investsnips.com/cambrex-corporation-cbm/
24,"Cardinal Health, Inc.",CAH,http://investsnips.com/cardinal-health-cah/
25,Cardiome Pharma Corporation,CRME,http://investsnips.com/cardiome-pharma-corporation-crme/
26,"Catalent, Inc.",CTLT,http://investsnips.com/catalent-ctlt/
27,"Collegium Pharmaceutical, Inc.",COLL,http://investsnips.com/collegium-pharmaceutical-inc-coll/
28,Corcept Therapeutics Incorporated,CORT,http://investsnips.com/corcept-therapeutics-cort/
29,"Corium International, Inc.",CORI,http://investsnips.com/corium-international-inc-cori/
30,Cumberland Pharmaceuticals Inc.,CPIX,http://investsnips.com/cumberland-pharmaceuticals-inc-cpix/
31,"Depomed, Inc.",DEPO,http://investsnips.com/depomed-depo/
32,"Dova Pharmaceuticals, Inc.",DOVA,http://investsnips.com/dova-pharmaceuticals-inc-dova/
33,Dr. Reddy’s Laboratories Ltd.,RDY,http://investsnips.com/dr-reddys-laboratories-rdy/
34,"Eagle Pharmaceuticals, Inc.",EGRX,http://investsnips.com/eagle-pharmaceuticals-inc-egrx/
35,Egalet Corporation,EGLT,http://investsnips.com/egalet-corporation-eglt/
36,Eli Lilly and Company,LLY,http://investsnips.com/eli-lilly-and-company-lly/
37,Endo International Plc.,ENDP,http://investsnips.com/endo-international-endp/
38,"Esperion Therapeutics, Inc.",ESPR,http://investsnips.com/esperion-therapeutics-inc-espr/
39,ESSA Pharma Inc.,EPIX,http://investsnips.com/essa-pharma-inc-epix/
40,"Evoke Pharma, Inc.",EVOK,http://investsnips.com/evoke-pharma-evok/
41,"Eyegate Pharmaceuticals, Inc. ",EYEG,http://investsnips.com/eyegate-pharmaceuticals-inc-eyeg/
42,"Flexion Therapeutics, Inc.",FLXN,http://investsnips.com/flexion-therapeutics-flxn/
43,Foamix Pharmaceuticals Ltd.,FOMX,http://investsnips.com/foamix-pharmaceuticals-fomx/
44,GlaxoSmithKline Plc.,GSK,http://investsnips.com/glaxosmithkline-gsk/
45,GW Pharmaceuticals Plc,GWPH,http://investsnips.com/gw-pharmaceuticals-plc-gwph/
46,"Heron Therapeutics, Inc.",HRTX,http://investsnips.com/heron-therapeutics-hrtx/
47,Immune Pharmaceuticals Inc.,IMNP,http://investsnips.com/immune-pharmaceuticals-imnp/
48,"Impax Laboratories, Inc.",IPXL,http://investsnips.com/impax-laboratories-inc-ipxl/
49,"Insys Therapeutics, Inc.",INSY,http://investsnips.com/insys-therapeutics-insy/
50,Intellipharmaceutics International Inc.,IPCI,http://investsnips.com/intellipharmaceutics-international-inc-ipci/
51,"Ironwood Pharmaceuticals, Inc.",IRWD,http://investsnips.com/ironwood-pharmaceuticals-irwd/
